DataZone,Name,TotPop2011,ResPop2011,HHCnt2011,StdAreaHa,StdAreaKm2,Shape_Leng,Shape_Area,Intermediate_Zone,Council_area,Total_population,Working_Age_population,income_count,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,overcrowded_count,nocentralheating_count,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,cluster
S01008417,Balerno and Bonnington Village - 01,726,726,299,1029.993186,10.299931,20191.7214196,10299931.7674,Balerno and Bonnington Village,City of Edinburgh,708,397,32,13,35,10,0,26,14,7,56,92,6.14,28,0,30,6,17,8,3.14797865,7.470991736,3.60297865,5.257357955,3.52297865,4.135769231,22.37331612,16.20544077,16.55205579,15,3
S01008418,Balerno and Bonnington Village - 02,692,692,312,2357.049745,23.570499,25944.8617866,23570497.471,Balerno and Bonnington Village,City of Edinburgh,691,378,17,8,30,57,50,38,12,4,72,94,6.3,24,0,13,7,7,10,3.582608382,7.658157514,4.036864162,3.559742647,3.956524566,4.767979798,17.63304913,12.75444725,13.1001987,7,3
S01008419,Balerno and Bonnington Village - 03,525,500,193,136.645688,1.366457,5738.93510576,1366456.8747,Balerno and Bonnington Village,City of Edinburgh,541,338,29,19,60,57,0,100,11,0,72,,6.6,34,0,25,10,30,0,2.43612381,6.391604762,2.890733333,3.023231293,2.810733333,3.161975806,18.66512381,13.40194286,13.74998095,0,3
S01008420,Balerno and Bonnington Village - 04,476,476,190,10.519669,0.105197,1890.09671266,105196.68905,Balerno and Bonnington Village,City of Edinburgh,466,274,11,8,35,8,37,80,15,0,97,,5.62,30,0,13,5,2,0,2.318151261,6.596964286,3.007095588,2.155457746,2.926565126,3.369637681,16.61466387,10.83966387,11.18752101,0,3
S01008421,Balerno and Bonnington Village - 05,858,858,394,14.654407,0.146542,2645.60903691,146544.070175,Balerno and Bonnington Village,City of Edinburgh,884,537,91,51,105,99,65,94,21,7,103,88,5.17,88,2,11,23,61,6,1.305804196,6.02037296,2.037905012,2.588222656,1.959213287,2.917301587,16.15854895,6.965932401,7.310675991,0,3
S01008422,Balerno and Bonnington Village - 06,621,621,241,23.157985,0.23158,3329.51143926,231579.866967,Balerno and Bonnington Village,City of Edinburgh,617,316,7,5,35,24,0,58,14,8,71,,6.38,11,0,19,6,17,4,1.806163446,6.124601449,2.259412238,4.779548193,2.18007649,2.9974,14.34369565,7.591481481,7.93826087,0,3
S01008423,Balerno and Bonnington Village - 07,1063,1063,398,1199.949914,11.9995,29598.5550169,11999499.0276,Balerno and Bonnington Village,City of Edinburgh,1088,685,12,13,35,33,31,53,11,0,66,94,5.78,31,1,24,7,27,3,3.761053622,5.507297742,3.568699436,5.68484127,4.213017404,4.060981308,16.24330903,13.14439323,16.69174036,13,3
S01008424,Balerno and Bonnington Village - 08,835,835,338,32.552726,0.325527,3516.71199385,325527.245472,Balerno and Bonnington Village,City of Edinburgh,836,417,20,14,30,13,0,55,14,0,55,93,5.48,26,1,20,,9,3,3.590988024,3.758769461,3.719790419,5.17,3.98494012,3.641756757,12.97627545,10.67496407,13.66187425,1,3
S01008425,Currie West - 01,2465,955,409,758.782766,7.587827,18368.1085978,7587827.66008,Currie West,City of Edinburgh,3847,3423,20,20,15,58,4,63,7,0,43,92,5.76,39,1,6,19,31,8,4.609474645,3.408249493,4.477314402,3.339361702,5.874682556,4.677061856,9.390756592,13.44433063,20.61633367,19,6
S01008426,Currie West - 02,573,573,264,18.780981,0.18781,2653.85984396,187809.797519,Currie West,City of Edinburgh,599,333,45,25,95,85,56,102,21,7,99,87,5.25,105,5,11,7,43,6,3.831361257,1.572975567,2.501849913,2.315939227,6.035658813,2.32040404,5.71469459,7.372591623,16.22200698,0,2
S01008427,Currie West - 03,1068,1068,397,18.571943,0.18572,2759.62382706,185719.448921,Currie West,City of Edinburgh,1084,717,14,8,35,53,0,51,12,3,60,93,6.18,36,1,12,3,48,4,4.883417603,3.600870787,4.095060861,4.001586207,7.029351592,4.38755618,15.80701311,15.51355805,24.56599719,0,3
S01008428,Currie West - 04,676,676,316,14.253934,0.14254,2495.83854545,142539.343412,Currie West,City of Edinburgh,696,399,56,26,75,139,183,83,19,12,97,84,5.52,110,3,13,9,61,4,3.744981509,1.702174556,2.40045858,3.255718954,4.753088018,2.55432,7.503254438,6.759400888,11.9393676,0,2
S01008429,Currie East - 01,841,841,352,19.175488,0.191755,2752.99709115,191754.877495,Currie East,City of Edinburgh,964,583,22,13,35,25,36,55,14,3,66,94,6.29,39,0,17,20,25,6,2.528653389,2.103275862,1.593058859,1.943778802,6.747057075,4.06496,6.786200951,4.603888228,15.35972652,0,2
S01008430,Currie East - 02,666,666,276,46.814349,0.468143,6492.45626274,468143.476325,Currie East,City of Edinburgh,831,500,44,25,55,44,0,51,17,0,67,,5.71,37,0,22,24,66,9,1.986764264,2.343667417,1.763314565,3.142166667,6.526058559,4.51808642,6.867875375,5.80490991,14.5214039,0,2
S01008431,Currie East - 03,842,842,352,17.246664,0.172467,2715.33365074,172466.638807,Currie East,City of Edinburgh,825,471,22,22,45,13,62,52,16,5,72,94,6.13,42,0,13,10,40,3,2.826134204,3.649804038,2.69692696,1.931243243,7.962511876,5.671710526,11.67523159,9.952108076,19.3358848,0,3
S01008432,Currie East - 04,701,701,293,132.699211,1.326992,7622.54183163,1326992.10741,Currie East,City of Edinburgh,679,366,8,9,35,21,56,51,14,7,79,92,5.4,39,2,17,9,26,2,2.152599857,4.116883024,3.073605563,2.382307692,7.663577033,6.118872549,11.57808845,8.859422254,17.80945792,3,3
S01008433,Baberton and Juniper Green - 01,807,807,348,17.383602,0.173836,2230.9035089,173836.02066,Baberton and Juniper Green,City of Edinburgh,806,449,23,7,40,21,22,38,14,0,62,,6.1,50,3,15,12,21,9,4.184278191,2.993770136,3.601474597,4.019486486,4.31972119,3.579036145,14.13954771,10.60012392,12.35127014,0,3
S01008434,Baberton and Juniper Green - 02,801,801,322,20.038744,0.200388,3609.61684383,200387.448307,Baberton and Juniper Green,City of Edinburgh,940,578,26,15,30,13,0,85,18,2,71,89,5.92,47,1,14,21,28,18,4.383682896,2.706036205,3.778970037,3.640042017,4.483554931,3.680301205,12.55007491,10.17979401,12.05222846,0,3
S01008435,Baberton and Juniper Green - 03,766,766,301,29.543123,0.29543,2896.57921629,295431.225331,Baberton and Juniper Green,City of Edinburgh,789,455,8,6,30,44,0,68,14,6,59,90,5.53,42,0,10,22,27,5,4.243697781,2.358854439,3.694030679,3.291,4.382353133,3.657454545,10.1001893,10.03658943,12.30625,0,3
S01008436,Baberton and Juniper Green - 04,870,836,356,23.656009,0.236559,2721.6112553,236560.086131,Baberton and Juniper Green,City of Edinburgh,993,521,26,17,55,39,18,82,15,4,60,95,6.25,33,0,25,9,25,2,3.610551724,2.834364943,4.098747126,2.993296089,4.85670977,4.379385965,9.411063218,7.717965517,12.89704023,0,3
S01008437,Baberton and Juniper Green - 05,710,708,367,26.79444,0.267945,2875.17665689,267944.402528,Baberton and Juniper Green,City of Edinburgh,765,466,30,21,70,53,21,59,16,5,69,89,6,38,0,13,9,55,12,2.595774648,4.060880282,3.920669014,2.716223022,6.089330986,5.819047619,8.857767606,6.383183099,13.5430493,8,2
S01008438,Bonaly and The Pentlands - 01,443,437,189,1830.395857,18.303958,29038.5995578,18303958.5965,Bonaly and The Pentlands,City of Edinburgh,665,431,17,13,40,52,0,68,13,17,65,,6.14,40,0,30,22,36,2,3.577048533,3.334204289,3.96962754,2.258141026,6.382420993,4.997843137,10.93362302,11.79942438,25.6087246,14,3
S01008439,Bonaly and The Pentlands - 02,1120,1112,434,36.689878,0.366899,3883.04083603,366898.769386,Bonaly and The Pentlands,City of Edinburgh,1198,732,18,11,30,20,14,54,10,3,53,,6.41,10,0,20,5,30,5,3.132477679,3.247247768,3.974854911,1.853484848,5.644745536,4.912325905,7.057642857,9.051736607,24.35523661,0,3
S01008440,Bonaly and The Pentlands - 03,997,997,403,33.419327,0.334193,3690.75693489,334193.268842,Bonaly and The Pentlands,City of Edinburgh,999,549,19,14,35,58,18,47,11,9,55,95,5.95,12,1,35,13,16,3,4.297670512,2.931494483,3.604332999,2.804755556,6.891421765,5.578076923,7.705902708,9.328445336,23.20833501,0,3
S01008441,Bonaly and The Pentlands - 04,465,465,186,11.759663,0.117597,1751.69543013,117596.621039,Bonaly and The Pentlands,City of Edinburgh,477,276,6,3,25,76,33,45,11,0,49,,6.38,24,0,33,4,11,8,3.832209677,3.223510753,3.951543011,2.85444,5.363451613,4.806527778,6.853935484,8.885419355,22.56252688,0,3
S01008442,Bonaly and The Pentlands - 05,688,680,303,28.389541,0.283895,3989.60917834,283895.407441,Bonaly and The Pentlands,City of Edinburgh,701,450,10,9,25,0,0,77,13,0,44,,5.56,16,0,25,9,17,12,4.382325581,2.776842297,3.146140988,3.219065421,5.973361192,4.988589744,6.682412791,7.696598837,21.47234012,0,3
S01008443,Bonaly and The Pentlands - 06,582,582,252,32.492692,0.324926,3430.02204246,324926.934185,Bonaly and The Pentlands,City of Edinburgh,617,360,18,9,20,11,0,77,11,6,57,,6.33,30,0,31,15,9,4,4.172912371,3.300575601,3.216636598,3.987047619,4.415347938,5.012222222,7.017628866,5.455614261,9.873114261,0,3
S01008444,Colinton and Kingsknowe - 01,634,623,260,63.390873,0.633908,4962.82132404,633908.727315,Colinton and Kingsknowe,City of Edinburgh,872,549,22,7,40,8,13,106,15,0,62,,5.79,47,5,4,16,57,6,2.565500789,2.288781546,3.422350158,3.213293651,7.853205836,4.77125,8.74444795,9.023426656,18.62278391,0,3
S01008445,Colinton and Kingsknowe - 02,920,909,403,52.531187,0.525312,3540.1701502,525311.855322,Colinton and Kingsknowe,City of Edinburgh,1170,685,70,11,75,76,10,90,13,2,99,91,5.73,69,0,4,17,95,6,3.331285326,1.87282337,3.315940217,3.346146067,8.246236413,4.40011194,8.267086957,9.769633152,20.01243478,1,3
S01008446,Colinton and Kingsknowe - 03,1128,781,323,75.406995,0.75407,6399.61800543,754069.955448,Colinton and Kingsknowe,City of Edinburgh,1180,650,10,5,20,12,0,59,9,0,54,,6.25,18,0,12,7,13,3,3.306881649,1.770363475,3.077316046,4.014619289,8.044257535,4.42951049,6.595263741,7.642845745,18.56775266,3,3
S01008447,Colinton and Kingsknowe - 04,675,675,286,35.716657,0.357166,4684.04151529,357166.561716,Colinton and Kingsknowe,City of Edinburgh,734,406,5,7,20,43,25,54,11,0,58,,6.5,21,0,19,4,14,11,3.961955556,4.0594,3.609807407,4.639646018,4.035966667,5.641202532,11.94542593,9.397262963,10.50938519,0,3
S01008448,Colinton and Kingsknowe - 05,755,755,315,75.13433,0.751344,5453.67793126,751343.297444,Colinton and Kingsknowe,City of Edinburgh,761,475,15,15,40,9,22,39,12,15,51,94,5.94,54,3,19,6,35,3,2.981486755,5.05857947,4.746215232,3.989666667,3.052824503,6.574241071,13.21807285,10.50063245,7.685609272,0,3
S01008449,Clovenstone and Wester Hailes - 01,795,795,351,13.992095,0.139922,1829.23372737,139920.962342,Clovenstone and Wester Hailes,City of Edinburgh,867,567,210,98,155,168,219,134,20,5,128,75,5.33,142,7,10,13,125,14,4.37768239,2.397433962,3.693698113,2.202586207,4.320918239,3.731307339,8.152628931,9.366408805,11.32139937,0,2
S01008450,Clovenstone and Wester Hailes - 02,592,555,256,7.904738,0.079047,1545.45542723,79047.3922539,Clovenstone and Wester Hailes,City of Edinburgh,660,429,155,41,125,87,288,156,20,8,103,75,4.36,129,10,3,33,116,11,4.531089527,2.589497466,3.643826014,2.891386139,4.174839527,3.62300885,7.921300676,8.726680743,10.73168074,0,2
S01008451,Clovenstone and Wester Hailes - 03,699,699,325,6.201243,0.062014,1218.62913805,62012.42784,Clovenstone and Wester Hailes,City of Edinburgh,735,487,209,125,225,164,443,165,23,7,109,65,4.65,208,6,3,70,159,10,3.101144492,0.867914878,2.454391989,2.857908163,3.08527897,2.435841584,3.475143062,7.063905579,8.757632332,0,4
